Variable,C_semanal,C_quincenal,C_mensual,C_trimestral,Periodo_max_coh,Max_Coherencia,lag_dias_max_coherencia,quien_lidera
USDCOP,0.010844158280631816,0.02591887466935965,0.12424094232881812,0.2610454097325754,5.529411764705883,0.6427776991069457,1.7177056889086821,PFAVAL
WTI,0.004410438923120335,0.0011448574515333255,0.0418904979684818,0.08341009632693158,3.514018691588785,0.6936368503010897,0.37079856145438217,PFAVAL
VIX,0.02805364488752706,0.0015042359014821871,0.04385142217182855,0.06786125904704271,2.557823129251701,0.5925254991800601,0.5714589538286932,PFAVAL
COLCAP,0.16082985548388878,0.42388171793363344,0.6705074596530715,0.6153763095537309,28.923076923076923,0.7125961021026495,1.974720751293898,PFAVAL
TES_5Y,0.014104054035722334,0.022369047208783598,0.10630682189715114,0.1426781889919251,2.4900662251655628,0.644639298873878,-0.3812352905316993,TES_5Y
