Variable,R²_crudo,R²_filtrado,Mejora_porcentual,p_valor_filtrado,r_filtrado
COLCAP,0.20322439481075605,0.01448914273312162,-92.87037230613282,2.850560328197878e-06,0.12037085499871479
USDCOP,0.000890746416174426,0.008187659393898684,819.1908320061517,0.00044231623503087757,-0.09048568612713662
VIX,0.01939978395913332,7.303607324759721e-35,-100.0,0.9999999999999998,8.546114511729714e-18
WTI,0.011321068523619814,4.1201087304883033e-35,-100.0,0.9999999999999998,-6.418807311711657e-18
TES_5Y,0.010894139365041161,1.7524433481313264e-36,-100.0,1.0,1.3237988321989586e-18
